Issue Type,Summary,Description,Parent,Story Points,Priority
Story,Configure Dinosaur entity with required fields,"As an investigator, I want the system to store the basic identification data of each dinosaur, so that no specimen information is lost between system sessions.

Acceptance Criteria:
- AC1: The Dinosaur entity includes the following required fields: FirstName, LastName, Username, Email.
- AC2: The entity also supports optional fields: Age, Zone, Sector, Address, Phone, DietType, CreatedAt.
- AC3: The entity is mapped to a database table via EF Core.
- AC4: CreatedAt is automatically set on record creation.",SCRUM-4,3,High
Story,Set up EF Core DbContext,"As an investigator, I want the system to persist dinosaur data to a database, so that records are available across multiple sessions without data loss.

Acceptance Criteria:
- AC1: A DbContext class is created and includes a DbSet<Dinosaur> property.
- AC2: The DbContext is configured to connect to a SQL Server database via connection string.
- AC3: The application registers the DbContext through dependency injection or direct instantiation.",SCRUM-4,2,High
Story,Create and run initial database migration,"As an investigator, I want the database schema to be created automatically from the entity model, so that the system is ready to store data without manual SQL scripts.

Acceptance Criteria:
- AC1: Running Add-Migration InitialCreate generates a valid migration file.
- AC2: Running Update-Database applies the migration and creates the Dinosaurs table.
- AC3: The table structure matches the Dinosaur entity definition.",SCRUM-4,1,High
Story,Enforce uniqueness on Username and Email,"As an investigator, I want the system to prevent two dinosaurs from sharing the same username or registration code, so that each specimen can be uniquely identified and tracked.

Acceptance Criteria:
- AC1: The database enforces a unique constraint on the Username column.
- AC2: The database enforces a unique constraint on the Email column.
- AC3: Attempting to insert a duplicate username or email raises a detectable error.",SCRUM-4,2,High
Story,Register a new dinosaur with required fields,"As an investigator, I want to register a new dinosaur by providing its name, species, username, and registration code, so that the specimen becomes part of the official park record.

Acceptance Criteria:
- AC1: The system prompts for FirstName, LastName, Username, and Email.
- AC2: All four required fields must be non-empty; the system rejects the registration otherwise.
- AC3: The Email field must follow a valid email format (contains @ and domain).
- AC4: On success, the system displays a confirmation message that the dinosaur was registered correctly.",SCRUM-5,3,High
Story,Reject registration if username already exists,"As an investigator, I want the system to prevent registering a dinosaur with a username that is already in use, so that each specimen has a unique identifier in the park.

Acceptance Criteria:
- AC1: Before saving, the system checks whether the username already exists in the database.
- AC2: If the username exists, registration is rejected and an error message is displayed.
- AC3: No record is created in the database when the username is duplicate.",SCRUM-5,2,High
Story,Reject registration if email already exists,"As an investigator, I want the system to prevent registering a dinosaur with a registration code already assigned to another specimen, so that each lab code maps to exactly one dinosaur.

Acceptance Criteria:
- AC1: Before saving, the system checks whether the email already exists in the database.
- AC2: If the email exists, registration is rejected and an error message is displayed.
- AC3: No record is created in the database when the email is duplicate.",SCRUM-5,2,High
Story,List all registered dinosaurs,"As an investigator, I want to see a full list of all dinosaurs registered in the system, so that I can get a general overview of all specimens in the park.

Acceptance Criteria:
- AC1: The query uses LINQ to retrieve all records from the Dinosaurs table.
- AC2: The list displays at minimum: ID, FirstName, LastName, Username, and Email for each dinosaur.
- AC3: If no dinosaurs are registered, the system displays an appropriate message.",SCRUM-6,2,Medium
Story,View dinosaur detail by ID,"As an investigator, I want to look up a dinosaur by its system ID, so that I can quickly access the full profile of a specific specimen.

Acceptance Criteria:
- AC1: The system prompts the investigator to enter a dinosaur ID.
- AC2: The system uses LINQ to find the matching record.
- AC3: All available fields for that dinosaur are displayed.
- AC4: If no dinosaur with that ID exists, the system displays a not-found message.",SCRUM-6,1,Medium
Story,View dinosaur detail by registration code,"As an investigator, I want to look up a dinosaur by its lab registration code (email), so that I can retrieve specimen data using the code assigned by the laboratory.

Acceptance Criteria:
- AC1: The system prompts the investigator to enter a registration code (email).
- AC2: The system uses LINQ to find the matching record.
- AC3: All available fields for that dinosaur are displayed.
- AC4: If no match is found, the system displays a not-found message.",SCRUM-6,1,Medium
Story,Filter dinosaurs by zone and sector,"As an investigator, I want to filter dinosaurs by their assigned zone or sector, so that I can monitor which specimens are located in a specific area of the park.

Acceptance Criteria:
- AC1: The system allows filtering by Zone (equivalent to city).
- AC2: The system allows filtering by Sector (equivalent to country).
- AC3: Both filters use LINQ and return only matching records.
- AC4: The system shows the count of results returned.
- AC5: If no matches exist, an appropriate message is shown.",SCRUM-6,2,Medium
Story,Filter dinosaurs by age and diet type,"As an investigator, I want to filter dinosaurs by minimum age or diet type (carnivore/herbivore), so that I can study specific groups of specimens based on biological criteria.

Acceptance Criteria:
- AC1: The system allows filtering dinosaurs older than a specified age using LINQ.
- AC2: The system allows filtering by diet type (carnivore or herbivore) using LINQ.
- AC3: Age input must be validated as a non-negative integer.
- AC4: Results display the relevant fields for each matching dinosaur.",SCRUM-6,2,Medium
Story,Display full names and registration codes report,"As an investigator, I want to generate a report showing the full name and registration code of every dinosaur, so that I can share a concise reference list with the scientific team.

Acceptance Criteria:
- AC1: The query uses a LINQ projection to return only FullName (FirstName + LastName) and Email.
- AC2: The report is displayed in a readable format.
- AC3: The report covers all registered dinosaurs.",SCRUM-6,2,Low
Story,Count dinosaurs by zone and sector,"As an investigator, I want to see how many dinosaurs are assigned to each zone and each sector, so that I can assess population distribution across the park.

Acceptance Criteria:
- AC1: The system uses LINQ grouping to count dinosaurs per Zone.
- AC2: The system uses LINQ grouping to count dinosaurs per Sector.
- AC3: Results display the zone/sector name and the corresponding count.
- AC4: Total count across all dinosaurs matches the general registry count.",SCRUM-6,3,Medium
